Date;fer;vac;tourn;tempMoy;tempMax;tempMin;wind;rain;nbPlay;open;nbCov
09/07/2017;0;1;0;23,57;28,58;18,56;2,58;1;65;True;130
10/07/2017;0;1;0;19,1;21,82;16,38;3,71;1;0;False;0
11/07/2017;0;1;0;19,005;23,71;14,3;5,37;0;0;True;82
12/07/2017;0;1;0;19,105;21,75;16,46;6,7;0;1;True;46
13/07/2017;0;1;0;19,055;23,49;14,62;2,76;1;0;True;58
14/07/2017;1;1;0;17,98;22,87;13,09;5,58;0;56;True;63
15/07/2017;0;1;0;18,515;25,52;11,51;2,9;0;0;True;92
16/07/2017;0;1;0;22,525;28,3;16,75;2,95;0;0;True;106
17/07/2017;0;1;0;22,88;29,32;16,44;3,17;0;0;False;0
18/07/2017;0;1;0;25,805;33,09;18,52;4,5;0;0;True;62
19/07/2017;0;1;0;25,02;28,68;21,36;6,32;0;0;True;39
20/07/2017;0;1;1;18,665;21,94;15,39;6,8;0;0;True;97
21/07/2017;0;1;1;18,79;24,78;12,8;6,67;0;1;True;109
22/07/2017;0;1;1;17,4;20,62;14,18;4,78;1;34;True;80
23/07/2017;0;1;1;17,13;21,07;13,19;5,57;1;23;True;88
24/07/2017;0;1;0;16,57;19,9;13,24;5,13;0;0;False;0
25/07/2017;0;1;0;18,28;21,61;14,95;4,27;0;34;True;54
26/07/2017;0;1;0;16,74;22,48;11;4,95;0;0;True;60
27/07/2017;0;1;0;19,065;21,94;16,19;3,76;0;0;True;42
28/07/2017;0;1;0;18,68;22,75;14,61;5,74;0;0;True;44
29/07/2017;0;1;0;22,615;27,52;17,71;5,86;0;0;True;89
30/07/2017;0;1;0;22,03;24,58;19,48;9,46;0;0;False;0
31/07/2017;0;1;0;18,705;23,75;13,66;2,98;0;0;False;0
01/08/2017;0;1;0;20,81;26,28;15,34;3,9;1;0;True;50
02/08/2017;0;1;0;22,32;29,05;15,59;5,1;0;76;True;121
03/08/2017;0;1;0;22,2;26,3;18,1;7,17;0;119;True;75
04/08/2017;0;1;0;21,605;25,81;17,4;5,73;0;0;True;36
05/08/2017;0;1;0;19,265;23,23;15,3;5,21;1;0;True;43
06/08/2017;0;1;0;16,83;23,67;9,99;2,76;0;0;True;53
07/08/2017;0;1;0;18,535;26,56;10,51;3,83;0;0;False;0
08/08/2017;0;1;0;16,91;19,85;13,97;4,74;0;0;True;26
09/08/2017;0;1;0;15,21;17,95;12,47;3,06;1;0;True;27
10/08/2017;0;1;1;15,4;18,91;11,89;4,03;1;0;True;30
11/08/2017;0;1;1;16,75;20,42;13,08;3,95;1;0;True;36
12/08/2017;0;1;1;16,395;19,65;13,14;5;0;0;True;23
13/08/2017;0;1;1;16,755;22,37;11,14;2,02;1;0;True;46
14/08/2017;0;1;0;18,59;27,1;10,08;2,94;0;0;False;0
15/08/2017;1;1;0;21,865;25,87;17,86;4,57;0;0;True;39
16/08/2017;0;1;0;19,365;25,05;13,68;2,08;0;0;True;23
17/08/2017;0;1;0;20,185;23,94;16,43;4,31;1;17;True;32
18/08/2017;0;1;0;17,92;21,9;13,94;3,83;1;0;True;27
19/08/2017;0;1;0;15,845;20,53;11,16;4,62;0;30;True;46
20/08/2017;0;1;0;15,87;21,99;9,75;2,96;0;0;True;60
21/08/2017;0;1;0;19,88;23,58;16,18;2,6;0;0;False;0
22/08/2017;0;1;0;21,56;27,69;15,43;3,52;0;0;True;46
23/08/2017;0;1;0;21,675;26,7;16,65;4,16;0;0;True;52
24/08/2017;0;1;0;18,61;24,01;13,21;2,07;0;0;True;59
25/08/2017;0;1;0;19,475;22,56;16,39;2,99;1;0;True;46
26/08/2017;0;1;0;22,065;27,82;16,31;2,08;0;53;True;61
27/08/2017;0;1;0;22,56;27,83;17,29;4,83;1;0;True;96
28/08/2017;0;1;0;23,265;29,87;16,66;3,15;0;25;False;0
29/08/2017;0;1;0;24,69;32,33;17,05;3,51;0;0;True;98
30/08/2017;0;1;0;18,685;24,77;12,6;5,95;1;0;True;123
31/08/2017;0;1;0;15,83;20,27;11,39;3,99;1;0;True;132
01/09/2017;0;1;0;16,405;21;11,81;3,24;1;0;True;58
02/09/2017;0;1;0;15,645;19,86;11,43;5,24;0;184;True;241
03/09/2017;0;1;0;14,945;20,89;9;3,67;0;52;True;229
04/09/2017;0;0;0;19,395;23,61;15,18;3,34;0;0;False;0
05/09/2017;0;0;0;19,8;21,52;18,08;5,21;0;0;True;65
06/09/2017;0;0;0;16,495;19,79;13,2;5,21;0;44;True;56
07/09/2017;0;0;0;15,675;19,58;11,77;4,04;0;0;True;88
08/09/2017;0;0;0;16,375;18,32;14,43;7,71;1;0;True;67
09/09/2017;0;0;0;13,665;16,42;10,91;5,66;1;84;True;117
10/09/2017;0;0;0;13,84;18,26;9,42;9,5;1;89;True;172
11/09/2017;0;0;0;14,535;17,45;11,62;8,89;0;0;False;0
12/09/2017;0;0;0;14,45;17,71;11,19;7,81;0;0;True;81
13/09/2017;0;0;0;14,99;17,82;12,16;11,93;1;0;True;69
14/09/2017;0;0;0;13,34;15,99;10,69;8,04;1;56;True;81
15/09/2017;0;0;0;11,935;16,18;7,69;3,76;0;40;True;71
16/09/2017;0;0;0;10,63;15,01;6,25;2,57;0;40;True;169
17/09/2017;0;0;0;11,55;14,61;8,49;2,41;1;43;True;233
18/09/2017;0;0;0;11,325;16,26;6,39;2,93;1;70;False;0
19/09/2017;0;0;0;12,96;16,85;9,07;3,21;0;0;True;105
20/09/2017;0;0;0;11,585;17,27;5,9;2,99;0;31;True;97
21/09/2017;0;0;0;14,09;20,41;7,77;3,37;0;0;True;130
22/09/2017;0;0;0;14,87;19,69;10,05;2,81;0;0;True;116
23/09/2017;0;0;0;13,355;19,8;6,91;2,68;0;41;True;204
24/09/2017;0;0;0;15,8;22,39;9,21;3,13;0;0;True;271
25/09/2017;0;0;0;17,13;20,27;13,99;2,11;0;20;False;0
26/09/2017;0;0;0;16,975;20,67;13,28;1,81;0;0;True;107
27/09/2017;0;0;0;15,48;19,97;10,99;2,42;0;53;True;100
28/09/2017;0;0;0;16,965;19,6;14,33;2,48;0;20;True;117
29/09/2017;0;0;0;19,52;24,38;14,66;3,3;0;33;True;101
30/09/2017;0;0;0;15,535;18;13,07;3,82;1;101;True;127
01/10/2017;0;0;0;13,85;15,06;12,64;4,12;1;24;True;140
02/10/2017;0;0;0;16,615;19,37;13,86;4,58;1;0;False;0
03/10/2017;0;0;0;12,795;16,6;8,99;3,5;0;0;True;118
04/10/2017;0;0;0;12,49;17,43;7,55;3,74;0;21;True;110
05/10/2017;0;0;0;12,355;15,9;8,81;4,25;0;32;True;80
